outcome,model,n_train,n_test,cv_r2_mean,cv_r2_sd,cv_rmse_mean,cv_rmse_sd,best_params,r2_test,rmse_test
net_interprovincial_rate,OLS_weighted,720,200,-0.05726099746996134,0.26474885135049825,3.8275881179704414,0.8094010516504134,sample_weight=population,-0.1669706742728747,5.428527204964458
net_intraprovincial_rate,OLS_weighted,720,240,0.22902630262095788,0.06843817213075076,3.5625070989638474,0.7994923180530997,sample_weight=population,0.23152716046093413,5.780481647575944
