rank_group,cma,province,size,mean_population_train,avg_rate_of_change,start_year,value_2001,end_year,value_2018,absolute_change
Bottom 5,"Red Deer (CMA), Alberta",Alberta,Small,90995,-55.056759545924045,2001,330.0,2018,-258.0,-588.0
Bottom 5,"Qu̩bec (CMA), Quebec",Quebec,Large,766103,-94.747162022705,2001,3099.0,2018,2423.0,-676.0
Bottom 5,"Vancouver (CMA), British Columbia",British Columbia,Large,2338010,-446.3993808049506,2001,-3542.0,2018,-11848.0,-8306.0
Bottom 5,"Montr̩al (CMA), Quebec",Quebec,Large,3932684,-452.9948400412779,2001,-122.0,2018,-14061.0,-13939.0
Bottom 5,"Toronto (CMA), Ontario",Ontario,Large,5619466,-1320.1775025799823,2001,-23189.0,2018,-46553.0,-23364.0
Top 5,"Ottawa - Gatineau (CMA), Ontario/Quebec",Ontario,Large,1304341,297.0980392156852,2001,1107.0,2018,5022.0,3915.0
Top 5,"Edmonton (CMA), Alberta",Alberta,Large,1177794,194.5376676986585,2001,2577.0,2018,4254.0,1677.0
Top 5,"London (CMA), Ontario",Ontario,Large,487107,181.54901960784267,2001,163.0,2018,2230.0,2067.0
Top 5,"St. Catharines - Niagara (CMA), Ontario",Ontario,Large,406091,178.56656346749335,2001,829.0,2018,2880.0,2051.0
Top 5,"Calgary (CMA), Alberta",Alberta,Large,1231406,137.9473684210554,2001,1260.0,2018,2535.0,1275.0
