metric,cma_size,period_group,n,mean,median,sd,q1,q3,iqr
"Net interprov. rate (per 1,000)",Small,2001-2018 (Pre),252,0.20901685009991233,-0.48613516746939056,3.891802514557894,-1.5117755544167555,0.9995847761131561,2.5113603305299117
"Net interprov. rate (per 1,000)",Small,2019 (Transition),14,0.6524850527118289,0.15375572202943097,2.398959438644833,-0.8807145438440341,0.9228621542867833,1.8035766981308174
"Net interprov. rate (per 1,000)",Small,2020-2024 (COVID/Post),70,1.353177117888683,0.22540424127919828,4.194910378394415,-2.075741492585709,4.326588446221764,6.402329938807473
"Net interprov. rate (per 1,000)",Medium,2001-2018 (Pre),216,0.10723614248436383,-0.3874108528168657,4.3650346370650075,-1.5612902391051495,1.8761396751626556,3.4374299142678053
"Net interprov. rate (per 1,000)",Medium,2019 (Transition),12,-1.3352854524866533,-0.6176380543187693,7.2600290931757545,-2.976864720413184,1.0903110620908882,4.067175782504073
"Net interprov. rate (per 1,000)",Medium,2020-2024 (COVID/Post),60,-1.2774996859770427,-0.7894750126934571,5.39706828379452,-3.4539987974749984,0.5704181209633202,4.024416918438319
"Net interprov. rate (per 1,000)",Large,2001-2018 (Pre),252,-0.04208795966499979,-0.6325755052317398,3.14147469685009,-1.5145361537467243,0.9093875883919081,2.4239237421386326
"Net interprov. rate (per 1,000)",Large,2019 (Transition),14,0.13553925316710755,0.02750754732607935,3.1840285357825606,-0.8692709515729115,0.6096209945981572,1.4788919461710686
"Net interprov. rate (per 1,000)",Large,2020-2024 (COVID/Post),70,0.1627471257163262,-1.2750431492012317,4.534398599405499,-2.2063282156843744,1.1530650994245364,3.359393315108911
"Net intraprov. rate (per 1,000)",Small,2001-2018 (Pre),252,4.796452180773546,4.8914272526352836,4.165677088366341,2.868813441841852,7.0779767984995186,4.209163356657667
"Net intraprov. rate (per 1,000)",Small,2019 (Transition),14,5.339745452718182,5.335976195268248,5.433101376277561,3.303724410620839,6.939399730039358,3.6356753194185187
"Net intraprov. rate (per 1,000)",Small,2020-2024 (COVID/Post),70,6.202875712425549,3.738106715914937,6.907061010393206,0.5785652178621274,10.278084699415022,9.699519481552894
"Net intraprov. rate (per 1,000)",Medium,2001-2018 (Pre),216,4.776314196482802,4.412958637163748,4.730108183387424,2.0413661010020583,7.116148501216537,5.074782400214478
"Net intraprov. rate (per 1,000)",Medium,2019 (Transition),12,6.246690418030433,5.463781685656304,5.342313726699886,2.8664273102513227,7.108490444858528,4.242063134607205
"Net intraprov. rate (per 1,000)",Medium,2020-2024 (COVID/Post),60,6.64164255703854,4.442420133222148,5.798817632055402,2.511570773384317,7.9877531155895785,5.476182342205261
"Net intraprov. rate (per 1,000)",Large,2001-2018 (Pre),252,1.0534631246535773,1.587927527923044,2.930580907616006,-0.6596550787115368,2.960625835014754,3.620280913726291
"Net intraprov. rate (per 1,000)",Large,2019 (Transition),14,0.9780305097314723,2.1596815934483917,4.893338828674111,-2.9111498709966104,3.936612796735151,6.847762667731761
"Net intraprov. rate (per 1,000)",Large,2020-2024 (COVID/Post),70,0.8923600150306892,1.0298822366698948,6.071120901613999,-1.26026983742676,3.2784464983697728,4.538716335796533
