term,estimate,se_hc3,ci_lower,ci_upper,p_value
Intercept,-128.21818358778046,66.13671781016279,-257.8437685513883,1.4074013758273622,0.05253985212117175
C(cma_size)[T.Medium],2.596902838142486,0.6723692864827627,1.2790832523253775,3.914722423959595,0.00011231702753655195
C(cma_size)[T.Small],2.825397053998649,0.8894619911658926,1.0820835856962154,4.568710522301082,0.0014905163401469541
rent_deviation,0.0020964743632388818,0.002069753707237388,-0.001960168359814658,0.006153117086292422,0.3111031201337734
unemployment_rate,-0.11187690123065142,0.06105248995782391,-0.2315375827144796,0.007783780253176775,0.06688131774466002
share_65plus,2.1985713579669426,5.935303385471221,-9.434409514875306,13.83155223080919,0.711067530981212
intl_inmigration,-0.00012341173749518466,1.3710170811469995e-05,-0.00015028317850755815,-9.654029648281118e-05,2.227084902129072e-19
log_population,0.35931576931279335,0.49980554905150765,-0.620285106101429,1.3389166447270158,0.4721956816718895
year,0.06299629819894033,0.03301428488210835,-0.0017105111453372263,0.1277031075432179,0.056371477671375
post_covid,874.4056861883286,597.3864448483127,-296.4502305667878,2045.2616029434448,0.143270835028391
post_covid:C(cma_size)[T.Medium],1.1557387768620835,0.9948738609599832,-0.794178159779793,3.10565571350396,0.24535987287823124
post_covid:C(cma_size)[T.Small],0.7315638559294533,1.043672145334888,-1.3139959605945803,2.777123672453487,0.48333310366452087
year:post_covid,-0.43251144055688334,0.2954204422428729,-1.0115248676498094,0.14650198653604268,0.14317923109451675
