model,outcome,n_train,n_test,r2_train,r2_test,rmse_train,rmse_test,condition_number
OLS Interprovincial,net_interprovincial,720,200,0.17297429764842387,0.03291479730271141,2239.210604986271,4132.433109571384,2193484.279777561
OLS Intraprovincial,net_intraprovincial,720,240,0.7603077853238056,0.6123471046891293,2436.012510565477,8015.093511129543,1994795.1984218138
