term,coef,std_err_hc3,p_value,outcome,model
Intercept,-25837.09727637312,6414.967637282871,5.6342619221794774e-05,net_interprovincial,OLS Interprovincial
avg_rent,2.109551513045227,0.6748067404621232,0.0017710724204308683,net_interprovincial,OLS Interprovincial
rent_deviation,1.7244348822686781,1.0739816276498868,0.10835159405318963,net_interprovincial,OLS Interprovincial
unemployment_rate,-328.77376231137146,56.025534126874405,4.403277582069992e-09,net_interprovincial,OLS Interprovincial
share_25_44,24863.432937957223,5711.736372938811,1.34260921224353e-05,net_interprovincial,OLS Interprovincial
share_65plus,10652.210942959175,4089.6761414958446,0.009196579302000933,net_interprovincial,OLS Interprovincial
natural_increase_rate,-31.188696965016867,56.014003818906716,0.5776628683915233,net_interprovincial,OLS Interprovincial
intl_inmigration,-0.0487001879572333,0.012550176891218396,0.00010426836427173489,net_interprovincial,OLS Interprovincial
rd_provincial,-0.022033169609356928,0.012990969275052645,0.08987879956292948,net_interprovincial,OLS Interprovincial
Intercept,-12757.117661584187,5808.968404368919,0.028084267376921584,net_intraprovincial,OLS Intraprovincial
avg_rent,1.8873404197442842,0.7132423355016057,0.008141565901122489,net_intraprovincial,OLS Intraprovincial
rent_deviation,1.9859836624802392,1.6503562123822915,0.228834459142642,net_intraprovincial,OLS Intraprovincial
unemployment_rate,-34.44375929016202,33.589816099727386,0.30516379062377486,net_intraprovincial,OLS Intraprovincial
share_25_44,11512.22933719895,5243.447761399546,0.028124474389178512,net_intraprovincial,OLS Intraprovincial
share_65plus,5438.049795382587,3712.3488873435535,0.1429607054302339,net_intraprovincial,OLS Intraprovincial
natural_increase_rate,206.55375113354543,50.39391066315248,4.1532652951339476e-05,net_intraprovincial,OLS Intraprovincial
intl_inmigration,-0.2953836647669713,0.02693574893001138,5.553909085440534e-28,net_intraprovincial,OLS Intraprovincial
