feature,vif
participation_rate,788.7005472806918
share_25_44,494.6084769435082
log_population,399.9372820930299
share_65plus,123.31581391840554
avg_rent,28.35446358170979
unemployment_rate,21.315277916237843
natural_increase_rate,9.243122472514147
rd_provincial,3.6107688627948775
intl_inmigration,2.7080775645215454
rent_deviation,2.556299296115667
