variable,mean,sd,min,max,pct_missing
net_interprovincial,24.0875,2463.9803606453597,-11590.0,13886.0,0.0
net_intraprovincial,-13.058333333333334,4979.140179633657,-48286.0,8534.0,0.0
net_interprovincial_rate,0.09059595439752854,3.800172219426584,-12.820361100263113,17.928286852589643,0.0
net_intraprovincial_rate,3.480364615844333,4.349975501723759,-10.683355844981328,22.473429080913355,0.0
avg_rent,759.9927951388889,187.31216242013843,381.625,1497.625,0.0
rent_deviation,19.59308449074074,100.64392552007192,-211.125,492.625,0.0
unemployment_rate,7.1890277777777785,1.89791017469642,3.6,16.7,0.0
participation_rate,66.58652777777777,2.937139128117691,56.8,74.8,0.0
share_25_44,0.28011361635986476,0.026421312258265262,0.22666906840028167,0.35320355443988133,0.0
share_65plus,0.14634639570748822,0.028878866495993076,0.08841638542000978,0.23287853114488757,0.0
population,608362.0861111111,1074757.0160191616,70285.0,6313488.0,0.0
log_population,12.578073156470232,1.0582238561845922,11.160313683765866,15.658198855170067,0.0
intl_inmigration,6081.2236111111115,16174.253333697992,45.0,123072.0,0.0
natural_increase_rate,2.911808466119189,2.6106369161745215,-3.0430544659201675,9.824974600535699,0.0
rd_provincial,7391.023611111111,5738.827507009915,142.0,17095.0,0.0
