term,estimate,se_hc3,ci_lower,ci_upper,p_value
Intercept,204.77543388829923,63.44569349087629,80.42415967201437,329.1267081045841,0.001248463739231006
C(cma_size)[T.Medium],-1.1893556348739867,0.569301473050533,-2.3051660183986318,-0.07354525134934176,0.036694307639987475
C(cma_size)[T.Small],-1.1113842941607586,0.6130730156012792,-2.3129853246326286,0.09021673631111149,0.06986128188717032
rent_deviation,0.009320313338213416,0.0016267588917537673,0.006131924498845739,0.012508702177581092,1.00800746881782e-08
unemployment_rate,-0.556643789445906,0.08790593021016432,-0.7289362466853195,-0.3843513322064924,2.4158551165047585e-10
share_65plus,27.234945876968705,6.276879821693983,14.932487491162302,39.53740426277511,1.4317772961706635e-05
intl_inmigration,-1.3357842007415453e-05,8.821323641159417e-06,-3.064731864005964e-05,3.931634625228735e-06,0.1299580564734838
log_population,-0.6970726880507878,0.3812087986477777,-1.4442282039902135,0.050082827888637715,0.0674618026661458
rd_provincial,-0.00013643261517377677,2.301303135283738e-05,-0.00018153732780042911,-9.132790254712443e-05,3.0572583478385214e-09
year,-0.09668063711838676,0.0320058136639743,-0.1594108791956763,-0.03395039504109719,0.00252173509461834
post_covid,1447.23453548959,709.7863847306327,56.0787847006593,2838.3902862785208,0.041452826202490294
post_covid:C(cma_size)[T.Medium],-2.0362875840825794,1.0779170817134522,-4.148966242561464,0.07639107439630566,0.05887912335339365
post_covid:C(cma_size)[T.Small],1.019501611673888,0.9048183288299224,-0.7539097253844795,2.7929129487322557,0.2598493365273984
year:post_covid,-0.7152995398893522,0.3512002811426313,-1.403639442289251,-0.026959637489453403,0.04167728024523684
